benchmark,agent,model,scaffold
pro,Claude 4 Sonnet - 10132025,Claude 4 Sonnet,SWE-agent 1.0
pro,Claude Sonnet 4 - paper,Claude 4 Sonnet,SWE-agent 1.0
pro,Claude 4.5 Haiku -- 10222025,Claude 4.5 Haiku,SWE-agent 1.0
pro,Claude Opus 4.1 - paper,Claude Opus 4.1,SWE-agent 1.0
pro,GLM-4.5 -- 10222025,GLM-4.5,SWE-agent 1.0
pro,GPT OSS - paper,GPT OSS 120B,SWE-agent 1.0
pro,GPT-4o - paper,GPT-4o,SWE-agent 1.0
pro,GPT-5 - 10132025,GPT-5,SWE-agent 1.0
pro,GPT-5 Codex -- debug-oct22,GPT-5 Codex,SWE-agent 1.0
pro,GPT-5 High - paper,GPT-5 High,SWE-agent 1.0
pro,Gemini 2.5 Pro Preview - paper,Gemini 2.5 Pro Preview,SWE-agent 1.0
pro,Gemini 2.5 Pro Preview -- debug-oct22,Gemini 2.5 Pro Preview,SWE-agent 1.0
pro,Claude 4.5 Sonnet - 10132025,claude-sonnet-4-5,SWE-agent 1.0
pro,Kimi - paper,kimi_k2_instruct,SWE-agent 1.0
