,b,b_std
adaptive-rejection-sampler,1.88593,0.13302056
bn-fit-modify,0.9848499,0.12497142
break-filter-js-from-html,2.3475013,0.12881026
build-cython-ext,2.0268602,0.12883388
build-pmars,0.1999773,0.11470021
build-pov-ray,0.8697123,0.105411716
caffe-cifar-10,4.403499,0.30298492
cancel-async-tasks,1.3798587,0.13408458
chess-best-move,4.1851525,0.17981923
circuit-fibsqrt,2.5283353,0.13146795
cobol-modernization,-1.1146426,0.116838306
code-from-image,-4.661549e-05,0.12719849
compile-compcert,1.4934688,0.1374963
configure-git-webserver,0.6810498,0.100369036
constraints-scheduling,-1.7653108,0.2202386
count-dataset-tokens,1.6134893,0.111746155
crack-7z-hash,0.67522675,0.10104803
custom-memory-heap-crash,-0.29004422,0.19120298
db-wal-recovery,4.037147,0.21937145
distribution-search,0.3243407,0.12356972
dna-assembly,4.3509436,0.21959044
dna-insert,4.9996367,0.29484087
extract-elf,1.127609,0.13361879
extract-moves-from-video,5.608855,0.28952214
feal-differential-cryptanalysis,2.0298326,0.109273665
feal-linear-cryptanalysis,2.0312667,0.10522327
filter-js-from-html,5.5588903,0.31473765
financial-document-processor,2.7690606,0.12589571
fix-code-vulnerability,0.1948857,0.13694504
fix-git,-1.7284893,0.13707744
fix-ocaml-gc,0.8533949,0.11113681
gcode-to-text,4.802531,0.28549173
git-leak-recovery,-1.2963436,0.14934176
git-multibranch,0.061675217,0.14977062
gpt2-codegolf,5.535037,0.3220538
headless-terminal,-0.3073028,0.1171301
hf-model-inference,-0.053377442,0.11074539
install-windows-3.11,5.470485,0.38688296
kv-store-grpc,0.9167855,0.10721727
large-scale-text-editing,1.0059916,0.10427943
largest-eigenval,1.8235968,0.13064143
llm-inference-batching-scheduler,1.8585429,0.10496871
log-summary-date-ranges,-0.014807542,0.13364533
mailman,1.2406421,0.087208636
make-doom-for-mips,6.5271573,0.7810469
make-mips-interpreter,4.6002192,0.24335225
mcmc-sampling-stan,0.8904194,0.08142483
merge-diff-arc-agi-task,0.19194464,0.10771505
model-extraction-relu-logits,3.4210258,0.18272017
modernize-scientific-stack,-2.2744672,0.18620533
mteb-leaderboard,4.1598554,0.26171243
mteb-retrieve,4.2813025,0.22304423
multi-source-data-merger,-1.5736138,0.16245064
nginx-request-logging,-0.83389103,0.106497906
openssl-selfsigned-cert,0.26229218,0.119106434
overfull-hbox,1.9349635,0.13501818
password-recovery,1.6688864,0.13779257
path-tracing,3.5393229,0.20309491
path-tracing-reverse,3.945693,0.17281625
polyglot-c-py,3.5660145,0.1748096
polyglot-rust-c,3.5709567,0.1695428
portfolio-optimization,-1.0597867,0.13791421
protein-assembly,3.2140012,0.13069353
prove-plus-comm,-1.7023209,0.2384324
pypi-server,0.19331168,0.09031677
pytorch-model-cli,0.9425642,0.13278036
pytorch-model-recovery,1.3881238,0.11073114
qemu-alpine-ssh,2.4099064,0.09927854
qemu-startup,0.7551972,0.08985858
query-optimize,1.701238,0.10550022
raman-fitting,5.3806605,0.4145492
regex-chess,5.0694656,0.2205345
regex-log,-0.18191075,0.15022606
reshard-c4-data,1.4725987,0.094144195
rstan-to-pystan,2.0061066,0.12523381
sam-cell-seg,5.516108,0.4329658
sanitize-git-repo,2.2322204,0.12976727
schemelike-metacircular-eval,2.4884415,0.12771703
sparql-university,2.0332787,0.14632131
sqlite-db-truncate,1.3684102,0.13306317
sqlite-with-gcov,0.2609742,0.1004437
torch-pipeline-parallelism,4.8830466,0.2971231
torch-tensor-parallelism,4.224241,0.24045613
train-fasttext,4.937484,0.25179932
tune-mjcf,1.3484478,0.11874957
video-processing,5.378067,0.22205229
vulnerable-secret,-0.34937277,0.105450675
winning-avg-corewars,2.3677292,0.14810836
write-compressor,3.3951318,0.14586546
