,b,b_std
terminal_bench::adaptive-rejection-sampler,-1.0343364,0.26867288
terminal_bench::bn-fit-modify,-1.2648052,0.28923616
terminal_bench::break-filter-js-from-html,0.70289063,0.26923203
terminal_bench::build-cython-ext,0.10842964,0.28016233
terminal_bench::build-pmars,-2.8992739,0.4117187
terminal_bench::build-pov-ray,-1.5513356,0.31683534
terminal_bench::caffe-cifar-10,2.9077718,0.389014
terminal_bench::cancel-async-tasks,-1.398799,0.2739628
terminal_bench::chess-best-move,2.64541,0.37421304
terminal_bench::circuit-fibsqrt,0.97871274,0.26844874
terminal_bench::cobol-modernization,-4.138769,0.5424221
terminal_bench::code-from-image,-2.6766431,0.42059353
terminal_bench::compile-compcert,-0.47582963,0.27404886
terminal_bench::configure-git-webserver,-1.7047415,0.33254424
terminal_bench::constraints-scheduling,-5.1508245,0.8259322
terminal_bench::count-dataset-tokens,-0.6511012,0.25512674
terminal_bench::crack-7z-hash,-1.8204595,0.36077455
terminal_bench::custom-memory-heap-crash,-2.5946574,0.40258685
terminal_bench::db-wal-recovery,1.7423401,0.28836507
terminal_bench::distribution-search,-2.3694315,0.3879155
terminal_bench::dna-assembly,3.0170667,0.4017184
terminal_bench::dna-insert,2.9385948,0.49246415
terminal_bench::extract-elf,-1.765764,0.32343605
terminal_bench::extract-moves-from-video,3.9174128,0.52546436
terminal_bench::feal-differential-cryptanalysis,0.1387065,0.24357152
terminal_bench::feal-linear-cryptanalysis,0.65947735,0.26083383
terminal_bench::filter-js-from-html,4.798876,0.7992614
terminal_bench::financial-document-processor,0.8142409,0.28249136
terminal_bench::fix-code-vulnerability,-1.739528,0.3250455
terminal_bench::fix-git,-4.5434556,0.62058675
terminal_bench::fix-ocaml-gc,-1.5505698,0.31759074
terminal_bench::gcode-to-text,3.2469244,0.43663445
terminal_bench::git-leak-recovery,-3.8173337,0.49553764
terminal_bench::git-multibranch,-3.1922467,0.43046233
terminal_bench::gpt2-codegolf,4.823768,0.83195716
terminal_bench::hf-model-inference,-2.6178186,0.392432
terminal_bench::install-windows-3.11,3.5863528,0.53860384
terminal_bench::kv-store-grpc,-0.53936166,0.2762115
terminal_bench::large-scale-text-editing,-1.4087156,0.32132152
terminal_bench::largest-eigenval,-0.30606002,0.26119766
terminal_bench::llm-inference-batching-scheduler,0.37604216,0.26390594
terminal_bench::log-summary-date-ranges,-1.8133935,0.33522967
terminal_bench::mailman,-1.013008,0.32499087
terminal_bench::make-doom-for-mips,5.835317,1.1940587
terminal_bench::make-mips-interpreter,2.8641794,0.38697043
terminal_bench::mcmc-sampling-stan,-1.6481841,0.2750331
terminal_bench::merge-diff-arc-agi-task,-2.4362035,0.35260227
terminal_bench::model-extraction-relu-logits,0.8714843,0.26602936
terminal_bench::modernize-scientific-stack,-4.5351524,0.75435835
terminal_bench::mteb-leaderboard,2.301799,0.3214003
terminal_bench::mteb-retrieve,2.4015846,0.36869147
terminal_bench::multi-source-data-merger,-4.5359087,0.71306753
terminal_bench::nginx-request-logging,-4.2054977,0.60733795
terminal_bench::openssl-selfsigned-cert,-2.217486,0.36455902
terminal_bench::overfull-hbox,-0.12372902,0.28716663
terminal_bench::password-recovery,-0.29203358,0.27527314
terminal_bench::path-tracing,1.5682973,0.3149454
terminal_bench::path-tracing-reverse,2.1678946,0.3435843
terminal_bench::polyglot-c-py,2.079019,0.31708464
terminal_bench::polyglot-rust-c,2.4539208,0.40651122
terminal_bench::portfolio-optimization,-3.7352836,0.5228972
terminal_bench::protein-assembly,1.4121419,0.31376627
terminal_bench::prove-plus-comm,-4.542173,0.7109027
terminal_bench::pypi-server,-2.6172962,0.391445
terminal_bench::pytorch-model-cli,-1.1125944,0.2989489
terminal_bench::pytorch-model-recovery,-1.0663719,0.26811635
terminal_bench::qemu-alpine-ssh,0.25851107,0.28134316
terminal_bench::qemu-startup,-2.5971198,0.35667628
terminal_bench::query-optimize,-0.66643727,0.28362054
terminal_bench::raman-fitting,4.978153,0.80207825
terminal_bench::regex-chess,3.409562,0.4455163
terminal_bench::regex-log,-2.4774742,0.3588881
terminal_bench::reshard-c4-data,-0.191421,0.25223306
terminal_bench::rstan-to-pystan,-0.34107867,0.28816146
terminal_bench::sam-cell-seg,3.6508803,0.50752276
terminal_bench::sanitize-git-repo,0.12203997,0.25744784
terminal_bench::schemelike-metacircular-eval,0.12731487,0.25616667
terminal_bench::sparql-university,-0.14296919,0.33330524
terminal_bench::sqlite-db-truncate,0.0034977566,0.26667187
terminal_bench::sqlite-with-gcov,-2.3774202,0.341528
terminal_bench::torch-pipeline-parallelism,3.4402606,0.5040144
terminal_bench::torch-tensor-parallelism,2.5192733,0.35759097
terminal_bench::train-fasttext,3.2336507,0.50421166
terminal_bench::tune-mjcf,-1.3229821,0.29123974
terminal_bench::video-processing,3.0459151,0.42292577
terminal_bench::vulnerable-secret,-2.5895185,0.37983048
terminal_bench::winning-avg-corewars,0.09736763,0.28176212
terminal_bench::write-compressor,1.634761,0.2877075
