benchmark,agent,model,scaffold
verified,20250527_amazon.nova-premier-v1.0,Amazon Nova Premier 1.0,NoScaffold
verified,20231010_rag_claude2,Claude 2,RAG
verified,20240402_rag_claude3opus,Claude 3 Opus,RAG
verified,20240402_sweagent_claude3opus,Claude 3 Opus,SWE-agent
verified,20241016_composio_swekit,Claude 3.5 Sonnet,20241016_composio_swekit
verified,20241108_devlo,Claude 3.5 Sonnet,20241108_devlo
verified,20241120_artemis_agent,Claude 3.5 Sonnet,Artemis Agent v1
verified,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,Claude 3.5 Sonnet,OpenHands-CodeAct-2.1
verified,20240620_sweagent_claude3.5sonnet,Claude 3.5 Sonnet,SWE-agent
verified,20241022_tools_claude-3-5-sonnet-updated,Claude 3.5 Sonnet,Tools
verified,20241202_agentless-1.5_claude-3.5-sonnet-20241022,Claude 3.5 Sonnet,agentless-1.5
verified,20250206_agentscope,Claude 3.5 Sonnet,agentscope
verified,20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,autocoderover-v2.0
verified,20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,autocoderover-v2.1
verified,20241125_enginelabs,Claude 3.5 Sonnet,enginelabs
verified,20241029_epam-ai-run-claude-3-5-sonnet,Claude 3.5 Sonnet,epam-ai-run
verified,20241212_epam-ai-run-claude-3-5-sonnet,Claude 3.5 Sonnet,epam-ai-run
verified,20250228_epam-ai-run-claude-3-5-sonnet,Claude 3.5 Sonnet,epam-ai-run
verified,20250110_learn_by_interact_claude3.5,Claude 3.5 Sonnet,learn_by_interact
verified,20250112_ugaiforge,Claude 3.5 Sonnet,ugaiforge
verified,20250225_sweagent_claude-3-7-sonnet,Claude 3.7 Sonnet,SWE-agent 1.0
verified,20250224_tools_claude-3-7-sonnet,Claude 3.7 Sonnet,Tools
verified,20250514_aime_coder,Claude 3.7 Sonnet,aime-coder
verified,20250405_swe-rizzo_claude37,Claude 3.7 Sonnet,swe-rizzo
verified,20250924_artemis_agent_v2,Claude 4 Sonnet,Artemis Agent v2
verified,20250731_harness_ai,Claude 4 Sonnet,Harness
verified,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,Claude 4 Sonnet,Lingxi v1.5
verified,20250524_openhands_claude_4_sonnet,Claude 4 Sonnet,OpenHands
verified,20250522_sweagent_claude-4-sonnet-20250514,Claude 4 Sonnet,SWE-agent 1.0
verified,20250522_tools_claude-4-sonnet,Claude 4 Sonnet,Tools
verified,20250710_bloop,Claude 4 Sonnet,bloop
verified,20250804_epam-ai-run-claude-4-sonnet,Claude 4 Sonnet,epam-ai-run
verified,20250611_moatless_claude-4-sonnet-20250514,Claude 4 Sonnet,moatless
